#feature	value	weight	wins	losses
pattern	159	-1.8056791568894384	16556	1578566
pattern	160	-0.6810781456486192	29347	908787
pattern	161	-1.163986763950217	32264	1619352
pattern	162	-3.2994013478838604	2472	1049737
pattern	163	-3.836604782485624	1573	1143067
pattern	164	-3.5118608229874124	1953	1025669
pattern	165	0.457234844678327	33065	328022
pattern	166	-2.4782715883275146	4518	844036
pattern	167	-1.1848968774132271	16487	844980
pattern	168	-3.726390127550152	1554	1011413
pattern	169	-3.024858499602446	5539	1787413
pattern	170	-1.8659676857793328	7516	761165
pattern	171	-1.2769524769289515	10873	610990
pattern	172	0.9586105516918438	29384	176563
pattern	173	-3.014195643206945	3700	1181318
pattern	174	-5.012656516098101	433	1020070
pattern	175	-2.558270117681111	3917	792706
pattern	176	-3.5830878471299297	3157	1780360
pattern	177	-9.368783971302156	8	1480678
pattern	178	-7.806182798679224	56	2157615
pattern	179	-0.23466075109454462	22096	437860
pattern	180	-6.542661597561738	124	1349572
pattern	181	-8.1924249792689	23	1306066
pattern	182	0.6285514428136252	37855	316414
pattern	183	-3.397157755831001	2126	995525
pattern	184	-1.855511694195857	7769	778603
pattern	185	-9.340495669031649	8	1439379
pattern	186	-2.3407134448125855	6148	1000936
pattern	187	-4.459968448996785	836	1133152
pattern	188	0.08737617431346628	22342	320837
pattern	189	-4.226767011514311	887	952194
pattern	190	-1.5428703669191908	11632	852758
pattern	191	-3.2010546191401543	2486	956801
pattern	192	-1.3198011573126844	19429	1139576
pattern	193	-5.152011682361185	425	1150942
pattern	194	-0.8785900859550239	22647	854452
pattern	195	-1.1991965385134038	7036	365799
pattern	196	-2.1233062694814264	5569	729510
pattern	197	-2.4310840304795067	3421	609644
pattern	198	-2.5237812953809624	5644	1103482
pattern	199	-6.187532705743294	84	641105
pattern	200	-3.4596710949394267	1589	792075
pattern	201	-4.29838159865855	1033	1191241
pattern	202	-3.2541228155174493	1772	719177
pattern	203	-4.558223951920436	552	825486
pattern	204	-3.320396004321822	1972	855184
pattern	205	-3.5390716471753954	2962	1598464
pattern	206	-1.9978475523925034	4214	486927
pattern	207	-3.1969629485133364	3083	1181721
pattern	208	-1.6549519104233463	7553	619396
pattern	209	-3.889229218902293	1015	777451
pattern	210	1.326698667964293	31907	132683
pattern	211	0.18460886833440385	22419	292113
pattern	212	-1.024058408385038	14042	612749
pattern	213	-3.5093464594600388	2112	1106384
pattern	214	-3.004126132312812	2626	830022
pattern	215	-2.3512540264109343	5201	855732
pattern	216	-4.261065760730444	884	982087
pattern	217	-6.297953736184572	184	1567632
pattern	218	-1.116990074820581	10959	524789
pattern	219	-5.525844265132341	315	1239799
pattern	220	-4.612970572775351	1120	1769048
pattern	221	-2.4398338314260197	4816	865780
pattern	222	-5.535907170655023	291	1156941
pattern	223	-2.224266290584699	6480	939020
pattern	224	-3.3396816207900915	1283	567234
pattern	225	-3.6360572172146384	1960	1165464
pattern	226	-6.269511723559901	167	1382948
pattern	227	-2.219439876012118	7261	1047128
pattern	228	-3.936581699782541	616	494732
pattern	229	-2.4042470178513122	3327	577193
pattern	230	-1.2944813934617128	9666	552770
pattern	231	-1.1586085760639087	7382	368522
pattern	232	-10.889974173999521	2	1734741
pattern	233	-2.056507011127751	3894	477135
pattern	234	-2.543024095726163	4081	813399
pattern	235	-2.0363994446970968	4742	569473
pattern	236	-1.4881691073208578	6950	482393
pattern	237	-8.875997225468629	12	1353288
pattern	238	-1.3048888306542712	17486	1010432
pattern	239	-4.589113656229225	748	1153651
pattern	240	-2.518128166846834	2655	516170
pattern	241	-6.48365935887302	118	1210719
pattern	242	-3.8725318952607504	1065	802239
pattern	243	-0.6663145459140934	10544	321731
pattern	244	-4.768695492241932	517	954270
pattern	245	-3.3367123066844844	1187	523237
pattern	246	-2.5097483706943184	4820	929248
pattern	247	-3.0870156361731906	1648	565922
pattern	248	-1.8473857391802753	4790	476167
pattern	249	-3.498348118749643	1866	966827
pattern	250	-4.050684377979306	1024	921777
pattern	251	-3.488256689736277	1706	875054
pattern	252	-3.5401192846826817	1630	880578
pattern	253	-5.960414443733095	149	905850
pattern	254	-1.3645806697575096	15258	935919
pattern	255	-3.2564174722762393	1560	634593
pattern	256	-1.7780371868612996	9991	926643
pattern	257	-7.250672406360115	51	1127585
pattern	258	-2.3783372835258048	3028	511885
pattern	259	-0.6206435457387666	13171	383947
pattern	260	-2.482873232625762	4604	864069
pattern	261	-2.5293827380543825	4906	964582
pattern	262	0.21095908593040633	25150	319175
pattern	263	-1.9866415133376567	6535	746700
pattern	264	-2.5968213429362526	3386	712179
pattern	265	-2.1876604310703294	5040	704099
pattern	266	-1.665340963981509	5579	462294
pattern	267	0.13183487360758908	24713	339453
pattern	268	-0.006991689517107792	24773	390953
pattern	269	-13.833309178934632	0	1017957
pattern	270	-2.382480625870717	8690	1475130
pattern	271	-2.223573260304652	6383	924323
pattern	272	-0.8795545086701845	21391	807843
pattern	273	-2.127922756521457	11297	1486688
pattern	274	-3.5953054177051658	1642	937390
pattern	275	-1.2706479946254254	5720	319407
pattern	276	-2.9628225549932123	2791	846479
pattern	277	-1.7348179050147923	6898	612714
pattern	278	-1.4936010473563628	6432	448871
pattern	279	-6.872405211881151	65	984229
pattern	280	-3.0399776331810897	2839	930100
pattern	281	-2.3546202003983088	3317	547597
pattern	282	-3.256936634371316	1667	678470
pattern	283	-10.994827976785048	1	993039
pattern	284	-1.0686298647497166	8338	380429
pattern	285	-0.7952749855190353	14499	503306
pattern	286	-5.212816944668691	313	900823
pattern	287	-1.2350964939144873	15413	830603
pattern	288	-2.705487502373556	3192	748443
pattern	289	-3.849227142586071	697	512955
pattern	290	-4.5773766791212	268	408579
pattern	291	-0.9694795567276769	8633	356708
pattern	292	0.5403772396920419	15134	138159
pattern	293	-2.6795474613891686	4318	986531
pattern	294	-8.548547608248697	11	894542
pattern	295	-4.419340821795627	513	667691
pattern	296	-6.217485746030128	137	1077089
pattern	297	-5.282644923101242	400	1234417
pattern	298	-6.06826752266138	127	860094
pattern	299	-7.49484360839471	27	762899
pattern	300	-4.3334277002677	871	1040262
pattern	301	-3.3016616393590708	2142	911664
pattern	302	-6.1093829420920365	89	628176
pattern	303	-5.048375671861305	413	1008342
pattern	304	-4.1753962467047385	756	770937
pattern	305	-3.3260278817217355	1154	503285
pattern	306	-3.724959083394483	1399	909234
pattern	307	-11.079027954101589	1	1080274
pattern	308	-0.8555543045101986	11963	441076
pattern	309	-3.4696398315666266	1724	867976
pattern	310	-7.4224593159198555	40	1050496
pattern	311	-10.065373077631692	2	760527
pattern	312	-3.885290143907703	990	755322
pattern	313	-4.110344640800712	1026	980355
pattern	314	-8.433921306007562	12	869759
pattern	315	-2.4781804461293815	3721	695082
pattern	316	-2.1381536092984774	4489	596833
pattern	317	-1.3882751230191712	5446	342067
pattern	318	-6.693488059214133	78	987424
pattern	319	-1.704539260313508	5796	499475
pattern	320	-6.527410865983388	73	782762
pattern	321	-5.372709055279759	182	614710
pattern	322	-6.57429358347287	87	977521
pattern	323	0.5504989575248185	65097	588290
pattern	324	-1.486141334294402	5193	359712
pattern	325	-0.6449568935301296	14063	420039
pattern	326	-1.1994131050350492	8447	439251
pattern	327	-8.376672455226142	15	1025620
pattern	328	-0.7667298070312376	9189	310003
pattern	329	-1.9661895047639362	7347	822485
pattern	330	-0.9489747315524278	10448	422940
pattern	331	-5.582795378086201	153	637615
pattern	332	-2.8221021605813035	2616	689256
pattern	333	-4.977263762886466	300	682214
pattern	334	-1.3285643569098675	10151	600632
pattern	335	-3.2286983811261325	2531	1001424
pattern	336	-0.4860118618898212	13578	345954
pattern	337	-1.4149200685901562	6594	425357
pattern	338	-2.0487398080843695	6790	825542
pattern	339	-3.9830214553879246	1028	864835
pattern	340	-1.3174258528551401	13853	810598
pattern	341	-3.695285445542262	1099	693384
pattern	342	-4.110847151649707	722	690244
pattern	343	-1.6007948478143879	6728	522655
pattern	344	-2.0461292982071777	5689	689878
pattern	345	-2.589350674551144	2474	516488
pattern	346	0.07610719294471527	17801	258524
pattern	347	-0.5547768388315298	11929	325575
pattern	348	-1.158294225992614	6493	324040
pattern	349	-1.64803605573814	7369	600142
pattern	350	-5.9190484151009315	130	758360
pattern	351	-2.1112837263643316	3144	406929
pattern	352	-4.428021739935037	750	984629
pattern	353	-1.5609111977674561	2308	172286
pattern	354	-3.754150280737356	773	517286
pattern	355	-4.610462993933376	535	842972
pattern	356	-1.3016106170946196	8614	496134
pattern	357	0.9972697693529733	76005	439382
pattern	358	-1.315156451256553	8511	496887
pattern	359	-1.2567953616748189	10936	602267
pattern	360	-2.3349912184041504	4182	676976
pattern	361	-1.4972603449346547	9811	687190
pattern	362	-1.8024175220204306	7302	693960
pattern	363	-2.458266433761737	4301	787583
pattern	364	-2.3719739585455257	2630	441784
pattern	365	0.34114228887015546	16235	180886
pattern	366	-0.7646645957199985	14370	483790
pattern	367	-0.8433953549986097	8712	317330
pattern	368	-1.5979619054632737	8357	647364
pattern	369	-2.5401199190985433	5324	1058065
pattern	370	-3.4717752096240724	1563	788603
pattern	371	-1.8067765161359077	7077	675515
pattern	372	-6.461940359905775	80	803397
pattern	373	-3.7791100063671297	1193	818501
pattern	374	-7.888655171279876	10	420601
pattern	375	-1.643621501871674	6377	517065
pattern	376	-3.698695014715631	1287	814764
pattern	377	-3.12344415141759	1681	598670
pattern	378	-0.30039863065630357	12512	264788
pattern	379	-4.2057800354211405	560	588699
pattern	380	-6.745138414145113	46	613543
pattern	381	-2.1825423791062484	4291	596403
pattern	382	-1.1905514787998719	7652	394400
pattern	383	-2.547308266377141	2620	524448
pattern	384	-2.6743398081747425	2262	514120
pattern	385	-1.4567145473670984	6396	430194
pattern	386	-2.8642704792660054	3230	887681
pattern	387	-1.746107235512226	7378	662790
pattern	388	-0.083209423966631	8856	150829
pattern	389	-9.763648149065725	3	834967
pattern	390	-1.7747616100824768	7424	686309
pattern	391	-3.4692541963525234	1762	886765
pattern	392	-1.2748257289883413	8594	481900
pattern	393	-1.5733804293337539	7016	530289
pattern	394	-4.760902642270139	446	816845
pattern	395	-6.322338633495113	84	733626
pattern	396	0.011470198562301338	11150	172744
pattern	397	-1.2937216376329062	8674	495664
pattern	398	-2.034005330365105	8611	1031628
pattern	399	-1.1766846085346394	11703	594889
pattern	400	-2.347928000375943	4420	724819
pattern	401	-3.1310743310638536	2889	1036751
pattern	402	0.12017538596414046	13239	183981
pattern	403	-1.50361678877293	8345	588235
pattern	404	0.511747429230376	13935	130908
pattern	405	-2.778896648336799	2854	720165
pattern	406	-2.5464499023673324	3574	714793
pattern	407	-1.8333133259016106	6149	602720
pattern	408	-2.1785627851965215	3521	487439
pattern	409	-2.3239493980838617	3148	504000
pattern	410	-6.456843730894173	63	629594
pattern	411	-1.7529562864943589	3538	320017
pattern	412	-0.7282104499990717	8526	276767
pattern	413	-3.293887817407227	1676	707810
pattern	414	-2.3674274676058125	2677	447639
pattern	415	-2.372280212067352	4320	725884
pattern	416	-2.7001855586206682	3156	736089
pattern	417	-1.328759071258276	8698	514759
pattern	418	-1.2786944797516484	6433	362123
pattern	419	-13.47541449754265	0	711701
pattern	420	-2.730425983743251	1234	296657
pattern	421	-3.3694578482215034	1739	792066
pattern	422	-9.454644126089809	3	613014
pattern	423	-2.9665146867754904	1672	508982
pattern	424	-1.1080463339668305	4791	227383
pattern	425	0.515587851385215	13055	122171
pattern	426	-0.4533152341800958	8157	201147
pattern	427	-3.4755072861781975	1542	780917
pattern	428	-2.5002016264650004	2321	443220
pattern	429	-4.035848685838621	339	300702
pattern	430	-0.9625957715448356	3871	158850
pattern	431	-7.511935352539892	22	632676
pattern	432	-4.029421815136222	319	281152
pattern	433	-13.537274338204055	0	757117
pattern	434	-1.9308834246623567	10937	1181903
pattern	435	-1.6282744981831443	4702	375446
pattern	436	-0.8418794262339344	7614	276916
pattern	437	-6.218660271970417	53	417481
pattern	438	-0.3975205776659864	8763	204364
pattern	439	-5.808453652015312	113	590217
pattern	440	-13.332841379557486	0	617133
pattern	441	-4.107739097831661	329	313586
pattern	442	-2.6744304572363022	2743	623498
pattern	443	-4.010270423319759	734	634572
pattern	444	-0.05633692354781675	10490	173921
pattern	445	-5.383045501818782	152	518754
pattern	446	-0.6663503294436947	5183	158156
pattern	447	-5.713294144815758	122	579359
pattern	448	-1.0987237084418466	11723	551213
pattern	449	-0.5209342533881824	5983	157859
pattern	450	-2.4001720715110286	3534	610611
pattern	451	-1.0897187624217917	5193	241986
pattern	452	-1.688779682011579	7073	599990
pattern	453	-4.439615940153497	141	187337
pattern	454	-2.9204782751329397	2105	611958
pattern	455	-1.9859239790111891	3243	370288
pattern	456	-0.3644420600993268	6895	155568
pattern	457	-2.2121228280921175	2359	337723
pattern	458	-3.8534694760337955	510	376941
pattern	459	-2.2029840344929794	3292	467004
pattern	460	-4.073527207172967	590	543398
pattern	461	-1.043427458814493	5033	223921
pattern	462	-6.506752138291636	48	504398
pattern	463	-7.628916913138857	21	678957
pattern	464	-3.3210344374272016	1074	466064
pattern	465	-4.873782861717069	137	280988
pattern	466	0.3268214530070286	10733	121309
pattern	467	-13.08113702527333	0	479805
pattern	468	-0.7908668391160669	7589	262280
pattern	469	-0.5091982676988611	8173	213125
pattern	470	-0.5094248984000058	8872	231405
pattern	471	-1.1022838675468072	3678	173557
pattern	472	-4.507259532887332	261	370965
pattern	473	-7.230937733289133	24	520990
pattern	474	-1.0411509275537305	6054	268733
pattern	475	-4.968940524647194	294	663031
pattern	476	-8.853228893368605	6	664910
pattern	477	-2.2357301595402688	1720	252126
pattern	478	-0.4796449816823776	6116	154841
pattern	479	-0.948977972779681	8907	360561
pattern	480	-4.613837127150491	418	660869
pattern	481	-5.8499715298183705	85	462875
pattern	482	-1.9616795982787503	2104	234484
pattern	483	-1.2418072966784082	3844	208549
pattern	484	-1.0635273889494603	4811	218390
pattern	485	-13.052279798294947	0	466157
pattern	486	-1.055501724219594	6467	291215
pattern	487	-4.993425343464791	229	529276
pattern	488	-0.7052507795313248	7066	224167
pattern	489	-2.062409372604989	3597	443353
pattern	490	-2.453255114610131	2693	490671
pattern	491	-1.4471194968313967	2667	177671
pattern	492	-2.2656301063447453	2190	330762
pattern	493	-1.6810479159983778	2976	250507
pattern	494	-0.987427357651777	8500	357573
pattern	495	-2.6055401698469525	1147	243370
pattern	496	-0.03846253703690545	7581	123464
pattern	497	-2.0351913537056827	4024	482665
pattern	498	0.2556875445768014	8430	102304
pattern	499	-0.5615626827237693	6270	172291
pattern	500	-0.9266151654463528	5988	237038
pattern	501	-5.311323856303246	146	463799
pattern	502	0.11040827368119673	9852	138256
pattern	503	-13.135840054124388	0	506783
pattern	504	-0.8132588568851723	4145	146498
pattern	505	-0.10961016937122077	7106	124262
pattern	506	-1.4334615849020516	6508	427666
pattern	507	0.4148906829200415	12251	126793
pattern	508	-5.2390565809754515	125	369431
pattern	509	0.30130649635563783	29692	344265
pattern	510	-5.900866440433359	63	361079
pattern	511	0.8738693070520636	10143	66337
pattern	512	-0.2508355231840187	5673	114251
pattern	513	-0.9647397897231909	4608	189499
pattern	514	-2.1117662223954246	3710	480417
pattern	515	-0.6920227681698385	7296	228422
pattern	516	-5.143854775319017	210	564167
pattern	517	-7.3558126115773925	17	418575
pattern	518	-4.593335604202193	360	557633
pattern	519	-0.32802153116490057	5873	127770
pattern	520	-0.954687084254606	3703	150759
pattern	521	-0.12177929043136858	8920	157893
pattern	522	-2.7649556019503247	967	240640
pattern	523	-2.99277103491798	830	259396
pattern	524	-0.26166245037153657	7676	156273
pattern	525	-0.04548863224964352	8927	146410
pattern	526	-0.5544835862973254	8639	235713
pattern	527	0.4934159953357499	10474	100215
pattern	528	-0.9779058720058652	6293	262222
pattern	529	0.9287579478262247	14847	91916
pattern	530	-0.3419363459060737	6996	154334
pattern	531	-1.0422992990564415	4900	217758
pattern	532	-0.16322195740484796	12269	226363
pattern	533	-3.6185086854696693	834	487311
pattern	534	-2.631560349018465	1389	302484
pattern	535	-1.504743401470796	5550	391659
pattern	536	-7.19871145306403	9	190011
pattern	537	-5.959426543612691	67	407139
pattern	538	-1.4715260357730733	3288	224452
pattern	539	0.20683664486260353	7763	98926
pattern	540	-0.5270810993939168	6326	167938
pattern	541	-4.189777519341577	248	256607
pattern	542	-7.9773188682013965	9	413928
pattern	543	-2.292598312382643	2594	402487
pattern	544	-1.2218182355452465	6156	327371
pattern	545	0.2814452437890113	7733	91459
pattern	546	-0.8945387702136331	4122	158021
pattern	547	-2.3426167759132843	2379	388061
pattern	548	-12.133813412830124	0	186057
pattern	549	-0.618931382057159	5684	165411
pattern	550	-1.0584298311825915	6332	285972
pattern	551	-1.3257095105333958	4074	240372
pattern	552	-2.2702488040742943	2360	358087
pattern	553	-0.9763130216606412	5558	231227
pattern	554	-0.31571205009629005	6650	142904
pattern	555	-0.26069186918219095	9295	189050
pattern	556	-2.725335383368319	1277	305435
pattern	557	-1.2944891076070695	4152	237444
pattern	558	-0.20809085571667474	6943	133977
pattern	559	-3.805810616904557	408	287527
pattern	560	-1.137292055840142	4861	237552
pattern	561	-2.208664407586403	1958	279348
pattern	562	-9.898501875389709	1	331770
pattern	563	-3.144951657170388	824	299850
pattern	564	-2.8007548912490976	1573	405702
pattern	565	-2.6575015098631294	1615	360941
pattern	566	-2.0774666441340814	3177	397527
pattern	567	-2.394276865133285	2012	345598
pattern	568	-5.620599009729006	55	238215
pattern	569	-1.3716706046802039	4389	271137
pattern	570	-0.8202589953928506	4089	145534
pattern	571	-0.7757319067672749	4770	162378
pattern	572	-4.347458665520653	275	333134
pattern	573	0.6759450133289197	8073	64355
pattern	574	-4.453546570403132	246	331365
pattern	575	-0.10637311779328257	10688	186296
pattern	576	-6.2393411389982365	30	241470
pattern	577	-0.32274763459130107	6441	139390
pattern	578	-3.2362482226216076	864	344460
pattern	579	-0.4634836082992841	5830	145234
pattern	580	-5.447353963181376	86	313101
pattern	581	-0.2555499042861707	5149	104188
pattern	582	-2.086746476292415	1533	193611
pattern	583	-0.04024708386836971	7008	114336
pattern	584	0.09709993223368055	6995	99478
pattern	585	0.03960191038210747	5701	85874
pattern	586	-2.604818915011435	1177	249555
pattern	587	-12.684425522140172	0	322682
pattern	588	-0.3198957324869068	5174	111652
pattern	589	-7.690090749901339	3	104986
pattern	590	-1.5709321274585306	3148	237355
pattern	591	-2.2304514413866805	2276	331868
pattern	592	-6.719501606657566	18	234509
pattern	593	-2.883267411672807	1501	420431
pattern	594	0.1922179493656498	10555	136486
pattern	595	-3.4750638359549306	497	251606
pattern	596	-9.743738605615345	1	284200
pattern	597	-0.9938235802432828	3477	147208
pattern	598	-3.0101580550862748	925	294154
pattern	599	-1.4068064770817437	3726	238411
pattern	600	-1.8820622998075898	1831	188443
pattern	601	-2.5962030022917655	2010	422508
pattern	602	-0.34303589757848113	4928	108833
pattern	603	-2.101345029852681	1883	241310
pattern	604	-1.7670810431166053	1644	150820
pattern	605	-0.9875724841390785	4382	184367
