#value	pattern_data	pattern_string	frequency
138	3,365,73	3|X.#|X.#|X.#|	45369
139	3,335,79	3|X.#|..#|###|	45250
140	3,13,32	3|...|O.X|X.X|	44906
141	3,2,193	3|.OO|...|.XO|	44813
142	3,7,143	3|.O.|..O|###|	44628
143	3,41,2	3|...|X.X|.OX|	44530
144	3,69,0	3|..X|...|X.X|	44484
145	3,1,270	3|O..|..O|OOX|	44204
146	3,1,46	3|...|O.O|OOX|	44170
147	3,107,73	3|..#|X.#|.X#|	44132
148	3,2,68	3|..O|...|OX.|	43999
149	3,5,10	3|...|..O|XOX|	43933
150	3,3,12	3|...|..O|OXX|	43821
151	3,3,132	3|.O.|...|OXX|	43812
152	3,70,32	3|..X|O..|XX.|	43227
153	3,99,4	3|..X|X..|OXX|	42618
154	3,10,33	3|...|O.X|.XO|	42615
155	3,68,2	3|..X|...|XO.|	42008
156	3,43,4	3|...|X.X|OXX|	41942
157	3,1,262	3|O..|...|OOX|	41539
158	3,3,44	3|...|O.O|OXX|	41239
159	3,71,399	3|OOX|..O|###|	41210
160	3,41,6	3|...|X.X|OOX|	40573
161	3,231,263	3|OXX|X..|###|	40531
162	3,1,160	3|.O.|O..|..X|	40343
163	3,7,128	3|.O.|...|XXX|	40313
164	3,71,167	3|.OX|O..|###|	40185
165	3,42,65	3|..O|X.X|.XO|	40153
166	3,41,192	3|.OO|X.X|..X|	40032
167	3,3,104	3|..O|O.O|.XX|	39839
168	3,107,329	3|O.#|X.#|.X#|	39227
169	3,1,78	3|..O|..O|OOX|	38982
170	3,12,288	3|O..|O.X|X..|	38959
171	3,1,68	3|..O|...|O.X|	38729
172	3,71,15	3|..X|..O|###|	38713
173	3,0,97	3|..O|O..|..O|	38618
174	3,10,256	3|O..|..X|.X.|	38553
175	3,3,260	3|O..|...|OXX|	38274
176	3,78,1	3|..X|..X|XXO|	38227
177	3,0,42	3|...|O.O|.O.|	38092
178	3,170,1	3|.X.|X.X|.XO|	38010
179	3,2,40	3|...|O.O|.X.|	37966
180	3,7,79	3|..O|..O|###|	37814
181	3,79,7	3|..X|..X|###|	37183
182	3,42,5	3|...|X.X|OXO|	37169
183	3,13,192	3|.OO|..X|X.X|	36914
184	3,5,72	3|..O|..O|X.X|	36841
185	3,42,0	3|...|X.X|.X.|	36694
186	3,3,328	3|O.O|..O|.XX|	36382
187	3,2,448	3|OOO|...|.X.|	36199
188	3,14,129	3|.O.|..X|XXO|	36121
189	3,5,192	3|.OO|...|X.X|	36120
190	3,5,136	3|.O.|..O|X.X|	36094
191	3,3,320	3|O.O|...|.XX|	36054
192	3,171,260	3|OX.|X.X|OXX|	36036
193	3,97,0	3|..X|X..|..X|	35989
194	3,170,5	3|.X.|X.X|OXO|	35986
195	3,3,68	3|..O|...|OXX|	35734
196	3,1,70	3|..O|...|OOX|	35703
197	3,68,1	3|..X|...|X.O|	35566
198	3,7,136	3|.O.|..O|XXX|	35413
199	3,11,4	3|...|..X|OXX|	35409
200	3,2,224	3|.OO|O..|.X.|	35319
