#value	pattern_data	pattern_string	frequency
3870	5,7,448	5|.....|.....|.....|.OOO.|..XXX|	6605
3871	5,1023,14713855	5|.OOO.|....O|.....|#####|#####|	6599
3872	5,4,1090	5|.....|.....|....O|...O.|..XO.|	6599
3873	5,2130943,4523007	5|..OX.|.O.OX|.....|#####|#####|	6598
3874	5,193,8400160	5|.O...|.....|.O.OO|.OXXO|....X|	6596
3875	5,10,32768	5|.....|....O|.....|.....|.X.X.|	6596
3876	5,33823,1114143	5|....O|...OX|....X|.....|#####|	6596
3877	5,2654239,31	5|...X.|X...X|.....|.....|#####|	6595
3878	5,1082913,1082681	5|....#|....#|....#|XO..#|OO..#|	6594
3879	5,3248127,3264511	5|...##|...##|O..##|#####|#####|	6592
3880	5,0,1064	5|.....|.....|....O|....O|.O...|	6591
3881	5,48,8400128	5|.O...|.....|.O.OO|.O..X|X....|	6591
3882	5,3255931,3525987	5|...##|.O.##|OX.##|XO.##|XX.##|	6590
3883	5,1082673,1082913	5|....#|....#|....#|OX..#|X...#|	6590
3884	5,1030,0	5|.....|.....|....X|.....|..XX.|	6588
3885	5,1082937,1615137	5|....#|O...#|.O..#|XO..#|XX..#|	6583
3886	5,2,3801145	5|...OO|O.O..|.....|....O|OO.XO|	6582
3887	5,2,289	5|.....|.....|.....|.O..O|...XO|	6579
3888	5,3779711,28675199	5|OO.##|XO.##|.X.##|...##|#####|	6577
3889	5,128,14	5|.....|.....|.....|..X..|.OOO.|	6576
3890	5,130,32	5|.....|.....|.....|..X.O|...X.|	6575
3891	5,1082925,1082401	5|....#|....#|....#|X...#|.XX.#|	6574
3892	5,3272035,3772003	5|...##|O..##|XX.##|OX.##|...##|	6572
3893	5,31,22020127	5|O.O.O|.....|.....|.....|#####|	6572
3894	5,1081375,262175	5|....X|.O..X|.....|.....|#####|	6570
3895	5,3,16384	5|.....|.....|O....|.....|...XX|	6567
3896	5,1083169,1360929	5|....#|.O..#|O...#|XX..#|....#|	6564
3897	5,3796095,20286591	5|O..##|XO.##|XX.##|...##|#####|	6562
3898	5,20549235,3263587	5|X..##|X..##|O..##|X..##|X..##|	6558
3899	5,3780195,3263843	5|...##|X..##|OX.##|XO.##|...##|	6557
3900	5,288,65	5|.....|.....|.....|.X.OX|....O|	6556
3901	5,106,1	5|.....|.....|.....|...XX|.X.XO|	6554
3902	5,2056,2	5|.....|.....|...X.|.....|.X.O.|	6551
3903	5,3,524288	5|.....|O....|.....|.....|...XX|	6549
3904	5,3212287,4359167	5|..OXX|..OXO|.....|#####|#####|	6548
3905	5,132095,6292479	5|..OO.|..X..|.....|#####|#####|	6547
3906	5,18400319,1082431	5|X...#|X...#|X...#|....#|#####|	6543
3907	5,1082367,14681087	5|.OOOX|....X|.....|#####|#####|	6540
3908	5,0,17472	5|.....|.....|O...O|...O.|.....|	6540
3909	5,2560,32	5|.....|.....|...X.|X...O|.....|	6540
3910	5,64,11264	5|.....|.....|.O.OO|...X.|.....|	6539
3911	5,2,2097185	5|...O.|.....|.....|....O|...XO|	6539
3912	5,3263843,3255915	5|...##|...##|XO.##|OX.##|.O.##|	6536
3913	5,1023,22053887	5|O.O.O|....O|.....|#####|#####|	6536
3914	5,3263587,3509363	5|...##|.O.##|X..##|...##|O..##|	6532
3915	5,1083169,1615009	5|....#|O...#|.O..#|XXO.#|....#|	6526
3916	5,33791,17826815	5|O...O|....X|.....|#####|#####|	6526
3917	5,2816,16384	5|.....|.....|O..X.|XX...|.....|	6522
3918	5,32784,32	5|.....|....X|.....|....O|X....|	6520
3919	5,42,3072	5|.....|.....|...OO|....X|.X.X.|	6519
3920	5,18384895,1099775	5|X...#|X...#|O...#|#####|#####|	6518
3921	5,2,18400420	5|O...O|O...O|O...O|..O.O|..OX.|	6517
3922	5,360479,1048607	5|....O|.X.XX|.....|.....|#####|	6516
3923	5,2,26394765	5|OO..O|..O.O|O....|..O..|.OOXO|	6514
3924	5,3771507,20024931	5|O..##|X..##|...##|O..##|X..##|	6513
3925	5,0,32786	5|.....|....O|.....|.....|O..O.|	6513
3926	5,3263603,3247723	5|...##|...##|X..##|O..##|XO.##|	6505
3927	5,3263603,3772267	5|...##|O..##|X..##|OO.##|XO.##|	6505
3928	5,132,131138	5|.....|..O..|.....|..XO.|..XO.|	6505
3929	5,2178,100	5|.....|.....|...X.|..XOO|..OX.|	6504
3930	5,1040,512	5|.....|.....|....X|O....|X....|	6504
3931	5,7,136	5|.....|.....|.....|..O..|.OXXX|	6500
3932	5,2294783,21234687	5|O.OX.|.OXX.|.....|#####|#####|	6499
3933	5,2047,1084415	5|....O|....O|...OX|#####|#####|	6498
3934	5,200,8400132	5|.O...|.....|.O.OO|.OXX.|.XO..|	6495
3935	5,3271795,3247979	5|...##|...##|XX.##|OO.##|XO.##|	6495
3936	5,64,1536	5|.....|.....|....O|O..X.|.....|	6491
3937	5,3272039,3247739	5|...##|...##|XX.##|OX.##|OOX##|	6491
3938	5,65567,4718623	5|..O..|O..X.|.....|.....|#####|	6486
3939	5,1090617,1082401	5|....#|....#|.X..#|....#|XX..#|	6486
3940	5,448,6	5|.....|.....|.....|.XXX.|..OO.|	6482
3941	5,2,10273	5|.....|.....|.O.O.|....O|...XO|	6480
3942	5,1040,2	5|.....|.....|....X|.....|X..O.|	6480
3943	5,130,77	5|.....|.....|.....|..XO.|.OOXO|	6479
3944	5,6,8328	5|.....|.....|.O...|..O..|.OXX.|	6478
3945	5,2,2097344	5|...O.|.....|.....|..OO.|...X.|	6474
3946	5,4,4194368	5|..O..|.....|.....|...O.|..X..|	6471
3947	5,160,66560	5|.....|...O.|....O|..X.X|.....|	6470
3948	5,66591,32799	5|.....|...XO|....X|.....|#####|	6468
3949	5,1098801,1082657	5|....#|....#|X...#|.O..#|X...#|	6466
3950	5,3264511,3248127	5|...##|...##|X..##|#####|#####|	6464
3951	5,66,65537	5|.....|...O.|.....|...X.|...XO|	6464
3952	5,65567,34847	5|.....|...XO|...O.|.....|#####|	6464
3953	5,132095,1023	5|.....|..X..|.....|#####|#####|	6456
3954	5,0,1048	5|.....|.....|....O|.....|OO...|	6453
3955	5,1098793,1344545	5|....#|.O..#|X...#|....#|.X..#|	6449
3956	5,31,3276831	5|...OO|..O..|.....|.....|#####|	6449
3957	5,224,6	5|.....|.....|.....|..XXX|..OO.|	6448
3958	5,1345057,1082665	5|....#|.X..#|....#|XO..#|.O..#|	6448
3959	5,68,8200	5|.....|.....|.O...|...X.|.OX..|	6447
3960	5,1098785,1082921	5|....#|....#|X...#|O...#|.O..#|	6445
3961	5,4,11	5|.....|.....|.....|.....|.OXOO|	6445
3962	5,1353249,1623073	5|....#|OX..#|OX..#|X...#|....#|	6443
3963	5,17,64	5|.....|.....|.....|...O.|X...X|	6442
3964	5,128,33824	5|.....|....O|....O|..X.O|.....|	6438
3965	5,3179519,4392959	5|..OXX|..OOX|....O|#####|#####|	6437
3966	5,128,65537	5|.....|...O.|.....|..X..|....O|	6435
3967	5,1184,3	5|.....|.....|....X|..X.X|...OO|	6435
3968	5,4,1040	5|.....|.....|....O|.....|O.X..|	6435
3969	5,160,73728	5|.....|...O.|.O...|..X.X|.....|	6434
3970	5,17408,1	5|.....|.....|X...X|.....|....O|	6434
3971	5,3272291,4033635	5|...##|OO.##|XX.##|X..##|...##|	6432
3972	5,7,480	5|.....|.....|.....|.OOOO|..XXX|	6432
3973	5,9,16777216	5|O....|.....|.....|.....|.X..X|	6432
3974	5,192,3104	5|.....|.....|...OO|..XXO|.....|	6431
3975	5,2304,1026	5|.....|.....|...XO|.X...|...O.|	6428
3976	5,1083169,1090593	5|....#|....#|.O..#|XX..#|....#|	6425
3977	5,68,138	5|.....|.....|.....|..OX.|.OXO.|	6422
3978	5,68,2440	5|.....|.....|...O.|.OOX.|.OX..|	6420
3979	5,2196479,5374975	5|..OXO|..OXX|.....|#####|#####|	6420
3980	5,1048607,10485791	5|.O.OX|.....|.....|.....|#####|	6420
3981	5,14,449	5|.....|.....|.....|.OOO.|.XXXO|	6415
3982	5,65,132	5|.....|.....|.....|..OX.|..O.X|	6413
3983	5,1082673,1082925	5|....#|....#|....#|OX..#|XOO.#|	6411
3984	5,1030,97	5|.....|.....|....X|...OO|..XXO|	6411
3985	5,7,264	5|.....|.....|.....|.O...|.OXXX|	6409
3986	5,82,4	5|.....|.....|.....|...X.|X.OX.|	6402
3987	5,1084415,2047	5|....X|....X|...XO|#####|#####|	6402
3988	5,33791,11600895	5|.O.OO|...OX|.....|#####|#####|	6402
3989	5,194,268	5|.....|.....|.....|.OXX.|.OOX.|	6401
3990	5,1082913,17876001	5|O...#|....#|O...#|X...#|....#|	6400
3991	5,1099041,1091121	5|....#|....#|XO..#|OX..#|O...#|	6397
3992	5,3271779,4033651	5|...##|OO.##|XX.##|...##|O..##|	6394
3993	5,32784,1024	5|.....|....X|....O|.....|X....|	6392
3994	5,1049599,21038079	5|O.O.X|...O.|.....|#####|#####|	6391
3995	5,162,2124	5|.....|.....|...O.|..XOX|.OOX.|	6390
3996	5,2163711,4328447	5|..OX.|..OX.|...O.|#####|#####|	6388
3997	5,224,11	5|.....|.....|.....|..XXX|.O.OO|	6388
3998	5,3772267,3263603	5|...##|X..##|O..##|XX.##|OX.##|	6386
3999	5,4,1041	5|.....|.....|....O|.....|O.X.O|	6384
4000	5,196639,6291487	5|..OO.|..XX.|.....|.....|#####|	6383
4001	5,9,38	5|.....|.....|.....|....O|.XOOX|	6381
4002	5,2130943,12780543	5|.OOX.|..OOX|.....|#####|#####|	6380
4003	5,66,19402372	5|O..O.|O....|...OO|O.OX.|..OX.|	6375
4004	5,64,513	5|.....|.....|.....|O..X.|....O|	6375
4005	5,2098175,16974847	5|O..X.|..OO.|.....|#####|#####|	6374
4006	5,1049599,10617855	5|.O.OX|..O..|.....|#####|#####|	6374
4007	5,3788411,3247203	5|...##|X..##|X..##|X..##|XX.##|	6371
4008	5,1091121,1082409	5|....#|....#|.X..#|X...#|XO..#|	6366
4009	5,3263611,3256163	5|...##|...##|XO.##|OO.##|XX.##|	6365
4010	5,320,2048	5|.....|.....|...O.|.X.X.|.....|	6363
4011	5,99327,3277823	5|...OO|..OXX|.....|#####|#####|	6362
4012	5,4,32770	5|.....|....O|.....|.....|..XO.|	6361
4013	5,3,288	5|.....|.....|.....|.O..O|...XX|	6361
4014	5,4,1065681	5|....O|.....|O....|O.OO.|O.X.O|	6360
4015	5,67,3104	5|.....|.....|...OO|...XO|...XX|	6358
4016	5,48,22200334	5|O.O.O|..O.O|O....|....X|XOOO.|	6357
4017	5,1083041,1082401	5|....#|....#|....#|X.X.#|....#|	6356
4018	5,3788395,3247475	5|...##|X..##|X..##|XO.##|OX.##|	6355
4019	5,2,16777220	5|O....|.....|.....|.....|..OX.|	6353
4020	5,0,1073	5|.....|.....|....O|....O|O...O|	6352
4021	5,3,160	5|.....|.....|.....|..O.O|...XX|	6344
4022	5,3772003,3247211	5|...##|X..##|...##|X..##|.O.##|	6341
4023	5,68,8400512	5|.O...|.....|.O.OO|O.OX.|..X..|	6340
4024	5,2,18400469	5|O...O|O...O|O...O|..OO.|O.OXO|	6340
4025	5,3,104	5|.....|.....|.....|...OO|.O.XX|	6337
4026	5,1116159,1023	5|....X|...X.|....X|#####|#####|	6335
4027	5,9280,0	5|.....|.....|.X..X|...X.|.....|	6335
4028	5,1083041,1344545	5|....#|.O..#|....#|X.X.#|....#|	6334
4029	5,0,33808	5|.....|....O|....O|.....|O....|	6332
4030	5,2562,0	5|.....|.....|...X.|X....|...X.|	6331
4031	5,65567,17301535	5|O....|O..X.|.....|.....|#####|	6327
4032	5,2,2097280	5|...O.|.....|.....|..O..|...X.|	6325
4033	5,10,64	5|.....|.....|.....|...O.|.X.X.|	6325
4034	5,1091105,17859617	5|O...#|....#|.X..#|X...#|....#|	6324
4035	5,3788395,3247203	5|...##|X..##|X..##|X..##|.X.##|	6320
4036	5,1345057,1098785	5|....#|.X..#|O...#|X...#|....#|	6319
4037	5,320,4194304	5|..O..|.....|.....|.X.X.|.....|	6319
4038	5,1082921,1098785	5|....#|....#|O...#|X...#|.X..#|	6318
4039	5,3179519,12649471	5|.OOXX|...OX|.....|#####|#####|	6318
4040	5,5,2080	5|.....|.....|...O.|....O|..X.X|	6316
4041	5,2056,8192	5|.....|.....|.O.X.|.....|.X...|	6316
4042	5,1703967,31	5|....X|X.X..|.....|.....|#####|	6314
4043	5,41,22400402	5|O.O.O|.O.OO|O..OO|.OO.X|OX.OX|	6308
4044	5,192,0	5|.....|.....|.....|..XX.|.....|	6305
4045	5,1098793,1082929	5|....#|....#|X...#|O...#|OX..#|	6305
4046	5,1091105,1082409	5|....#|....#|.X..#|X...#|.O..#|	6305
4047	5,1572895,32799	5|....X|X...O|.....|.....|#####|	6300
4048	5,11,228	5|.....|.....|.....|..OOO|.XOXX|	6299
4049	5,1573887,4195327	5|..O.X|X....|.....|#####|#####|	6295
4050	5,81,0	5|.....|.....|.....|...X.|X...X|	6294
4051	5,1032,1	5|.....|.....|....X|.....|.X..O|	6294
4052	5,196,35	5|.....|.....|.....|..XXO|..XOO|	6291
4053	5,4,1048592	5|....O|.....|.....|.....|O.X..|	6291
4054	5,65,42	5|.....|.....|.....|...XO|.O.OX|	6287
4055	5,2560,8448	5|.....|.....|.O.X.|XO...|.....|	6285
4056	5,130,1025	5|.....|.....|....O|..X..|...XO|	6284
4057	5,0,1048596	5|....O|.....|.....|.....|O.O..|	6283
4058	5,5,2304	5|.....|.....|...O.|.O...|..X.X|	6282
4059	5,18122751,9996287	5|XO..#|OX..#|....#|#####|#####|	6279
4060	5,1156,2	5|.....|.....|....X|..X..|..XO.|	6271
4061	5,131103,6324255	5|..OO.|..X.O|.....|.....|#####|	6269
4062	5,2,2097284	5|...O.|.....|.....|..O..|..OX.|	6268
4063	5,1,62	5|.....|.....|.....|....O|OOOOX|	6267
4064	5,20025343,4034559	5|X..##|OO.##|...##|#####|#####|	6266
4065	5,64,65792	5|.....|...O.|.....|.O.X.|.....|	6265
4066	5,1106977,1082657	5|....#|....#|XX..#|.O..#|....#|	6256
4067	5,1081375,4260895	5|..O.X|...OX|....O|.....|#####|	6254
4068	5,1153,0	5|.....|.....|....X|..X..|....X|	6254
4069	5,68,10	5|.....|.....|.....|...X.|.OXO.|	6253
4070	5,4,96	5|.....|.....|.....|...OO|..X..|	6253
4071	5,10242,8	5|.....|.....|.X.X.|.....|.O.X.|	6251
4072	5,2,20971520	5|O.O..|.....|.....|.....|...X.|	6249
4073	5,2262015,4195327	5|..OX.|..X.X|.....|#####|#####|	6245
4074	5,65,1030	5|.....|.....|....O|...X.|..OOX|	6245
4075	5,5,16777216	5|O....|.....|.....|.....|..X.X|	6243
4076	5,2,2097160	5|...O.|.....|.....|.....|.O.X.|	6240
4077	5,2098175,25232383	5|OO.X.|...O.|.....|#####|#####|	6239
4078	5,1152,163840	5|.....|..O.O|....X|..X..|.....|	6236
4079	5,4,2312	5|.....|.....|...O.|.O...|.OX..|	6236
4080	5,1,262152	5|.....|.O...|.....|.....|.O..X|	6235
4081	5,32776,320	5|.....|....X|.....|.O.O.|.X...|	6233
4082	5,129,1049600	5|....O|.....|....O|..X..|....X|	6233
4083	5,80,132	5|.....|.....|.....|..OX.|X.O..|	6232
4084	5,2098175,16811007	5|O..X.|....O|.....|#####|#####|	6230
4085	5,162,3140	5|.....|.....|...OO|..XOX|..OX.|	6226
4086	5,1048607,8421407	5|.O..X|....O|.....|.....|#####|	6223
4087	5,1049599,27362303	5|OO.OX|...OO|.....|#####|#####|	6220
4088	5,2163711,20972543	5|O.OX.|...X.|.....|#####|#####|	6220
4089	5,1,524290	5|.....|O....|.....|.....|...OX|	6208
4090	5,1,262148	5|.....|.O...|.....|.....|..O.X|	6206
4091	5,228,11	5|.....|.....|.....|..XXX|.OXOO|	6203
4092	5,3263615,4033663	5|...##|OO.##|X..##|...##|#####|	6201
4093	5,2098175,30508031	5|OOOXO|...OO|.....|#####|#####|	6199
4094	5,65,1186	5|.....|.....|....O|..OXO|...OX|	6199
4095	5,67615,8519711	5|.O...|..OX.|...X.|.....|#####|	6198
4096	5,130,132096	5|.....|..O..|....O|..X..|...X.|	6197
4097	5,10,1040	5|.....|.....|....O|.....|OX.X.|	6196
4098	5,1607457,1082417	5|....#|X...#|....#|XX..#|O...#|	6194
4099	5,2,17301504	5|O....|O....|.....|.....|...X.|	6193
4100	5,1091113,1099169	5|....#|....#|OX..#|XOO.#|.X..#|	6192
4101	5,3771515,20024419	5|O..##|X..##|...##|...##|XX.##|	6192
4102	5,6,8200	5|.....|.....|.O...|.....|.OXX.|	6191
4103	5,32785,0	5|.....|....X|.....|.....|X...X|	6190
4104	5,64,18400288	5|O...O|O...O|O...O|...XO|.....|	6189
4105	5,3,8200	5|.....|.....|.O...|.....|.O.XX|	6188
4106	5,4,2097160	5|...O.|.....|.....|.....|.OX..|	6186
4107	5,3256179,3525731	5|...##|.O.##|OX.##|XX.##|X..##|	6184
4108	5,131,268	5|.....|.....|.....|.OX..|.OOXX|	6183
4109	5,288,3072	5|.....|.....|...OO|.X..X|.....|	6183
4110	5,1607217,1082409	5|....#|X...#|....#|X...#|XO..#|	6180
4111	5,108,131	5|.....|.....|.....|..OXX|.XXOO|	6178
4112	5,9280,32	5|.....|.....|.X..X|...XO|.....|	6175
4113	5,2,197	5|.....|.....|.....|..OO.|..OXO|	6175
4114	5,192,262	5|.....|.....|.....|.OXX.|..OO.|	6173
4115	5,64,11	5|.....|.....|.....|...X.|.O.OO|	6165
4116	5,128,96	5|.....|.....|.....|..XOO|.....|	6163
4117	5,1099041,1606689	5|....#|O...#|X...#|.X..#|....#|	6162
4118	5,3772259,3533923	5|...##|XO.##|OO.##|XX.##|...##|	6161
4119	5,164,8	5|.....|.....|.....|..X.X|.OX..|	6155
4120	5,2,16777728	5|O....|.....|.....|O....|...X.|	6154
4121	5,1099041,17859617	5|O...#|....#|X...#|.X..#|....#|	6153
4122	5,5,8388608	5|.O...|.....|.....|.....|..X.X|	6152
4123	5,1099045,1082425	5|....#|....#|X...#|.X..#|OOX.#|	6150
4124	5,17825823,131103	5|X...X|..O..|.....|.....|#####|	6148
4125	5,6,8288	5|.....|.....|.O...|...OO|..XX.|	6147
4126	5,9,2048	5|.....|.....|...O.|.....|.X..X|	6147
4127	5,0,2060	5|.....|.....|...O.|.....|.OO..|	6146
4128	5,4,4194305	5|..O..|.....|.....|.....|..X.O|	6146
4129	5,64,524304	5|.....|O....|.....|...X.|O....|	6145
4130	5,32816,0	5|.....|....X|.....|....X|X....|	6145
4131	5,98335,10616863	5|.O.O.|..OXX|.....|.....|#####|	6141
4132	5,33296,0	5|.....|....X|.....|X....|X....|	6140
4133	5,1353249,18400289	5|O...#|OX..#|OX..#|X...#|....#|	6139
4134	5,77,2	5|.....|.....|.....|...X.|.XXOX|	6137
4135	5,2,8196	5|.....|.....|.O...|.....|..OX.|	6137
4136	5,1607679,9734143	5|.O..#|XO..#|....#|#####|#####|	6137
4137	5,10273,2	5|.....|.....|.X.X.|....X|...OX|	6131
4138	5,1116159,2229247	5|...OX|..OX.|....X|#####|#####|	6127
4139	5,1091121,1082401	5|....#|....#|.X..#|X...#|X...#|	6126
4140	5,128,1065552	5|....O|.....|O....|O.XO.|O....|	6124
4141	5,2560,64	5|.....|.....|...X.|X..O.|.....|	6123
4142	5,1,114	5|.....|.....|.....|...OO|O..OX|	6121
4143	5,130,2117	5|.....|.....|...O.|..XO.|..OXO|	6119
4144	5,2,394248	5|.....|.OO..|....O|.....|.O.X.|	6119
4145	5,1023,19956735	5|O..OO|....O|.....|#####|#####|	6118
4146	5,163871,16777247	5|O....|..X.X|.....|.....|#####|	6115
4147	5,4,131202	5|.....|..O..|.....|..O..|..XO.|	6115
4148	5,1082673,1098785	5|....#|....#|O...#|.X..#|X...#|	6114
4149	5,2,8388616	5|.O...|.....|.....|.....|.O.X.|	6111
4150	5,65567,263199	5|.....|.O.X.|....O|.....|#####|	6110
4151	5,66,65668	5|.....|...O.|.....|..OX.|..OX.|	6110
4152	5,192,65542	5|.....|...O.|.....|..XX.|..OO.|	6107
4153	5,2229247,5571583	5|..OXO|.OXO.|.....|#####|#####|	6107
4154	5,72,3	5|.....|.....|.....|...X.|.X.OO|	6106
4155	5,1,8224	5|.....|.....|.O...|....O|....X|	6106
4156	5,128,2097216	5|...O.|.....|.....|..XO.|.....|	6099
4157	5,20040827,3247203	5|X..##|...##|X..##|...##|XX.##|	6097
4158	5,1023,13698047	5|.OO.O|...O.|.....|#####|#####|	6096
4159	5,64,18432	5|.....|.....|O..O.|...X.|.....|	6095
4160	5,128,196608	5|.....|..OO.|.....|..X..|.....|	6091
4161	5,12321791,16778239	5|OX.XX|XX...|.....|#####|#####|	6091
4162	5,76,162	5|.....|.....|.....|..OXO|.XXO.|	6086
4163	5,2,16385	5|.....|.....|O....|.....|...XO|	6086
4164	5,1,18400338	5|O...O|O...O|O...O|...O.|O..OX|	6085
4165	5,100,3208	5|.....|.....|...OO|..OXX|.OX..|	6083
4166	5,65567,33823	5|.....|...XO|....O|.....|#####|	6081
4167	5,1048607,4456479	5|..O.X|.O...|.....|.....|#####|	6080
4168	5,1868841,9471009	5|.O..#|XX..#|....#|....#|.X..#|	6077
4169	5,129,132096	5|.....|..O..|....O|..X..|....X|	6077
4170	5,1049599,263167	5|....X|.O...|.....|#####|#####|	6076
4171	5,4,1048642	5|....O|.....|.....|...O.|..XO.|	6076
4172	5,2098175,4228095	5|..OX.|....O|.....|#####|#####|	6074
4173	5,1,1062	5|.....|.....|....O|....O|..OOX|	6067
4174	5,3788387,3247475	5|...##|X..##|X..##|XO.##|O..##|	6064
4175	5,3263603,20033387	5|O..##|...##|XO.##|OO.##|XO.##|	6063
4176	5,128,131076	5|.....|..O..|.....|..X..|..O..|	6063
4177	5,80,768	5|.....|.....|.....|OO.X.|X....|	6062
4178	5,3525747,28937315	5|OO.##|OX.##|X..##|...##|X..##|	6059
4179	5,1082913,17867809	5|O...#|....#|.O..#|X...#|....#|	6059
4180	5,64,1032	5|.....|.....|....O|...X.|.O...|	6056
4181	5,1361441,1082401	5|....#|.X..#|X...#|X...#|....#|	6054
4182	5,32784,512	5|.....|....X|.....|O....|X....|	6054
4183	5,1280,1048576	5|....O|.....|....X|.X...|.....|	6052
4184	5,99327,2229247	5|...O.|..OXX|.....|#####|#####|	6051
4185	5,1099313,1615137	5|....#|O...#|XO..#|XO..#|X...#|	6049
4186	5,98335,7471135	5|..OOO|..OXX|.....|.....|#####|	6048
4187	5,38,1025	5|.....|.....|....O|....X|..XXO|	6047
4188	5,4,9994521	5|.O..O|O...O|.....|.O...|OOX.O|	6045
4189	5,0,2592	5|.....|.....|...O.|O...O|.....|	6045
4190	5,1055,1081375	5|....O|....O|....X|.....|#####|	6042
4191	5,67,1060	5|.....|.....|....O|...XO|..OXX|	6041
4192	5,1083169,17884193	5|O...#|....#|OO..#|XX..#|....#|	6041
4193	5,2294783,5243903	5|..OXO|..XX.|.....|#####|#####|	6041
4194	5,1091105,18138145	5|O...#|.O..#|OX..#|X...#|....#|	6038
4195	5,65552,640	5|.....|...X.|.....|O.O..|X....|	6037
4196	5,3263595,3771491	5|...##|O..##|X..##|...##|.X.##|	6036
4197	5,1082913,1361185	5|....#|.O..#|O...#|XO..#|....#|	6035
4198	5,49,4	5|.....|.....|.....|....X|X.O.X|	6035
4199	5,192,25200640	5|OO...|....O|...O.|..XX.|.....|	6031
4200	5,1023,20186111	5|O..OO|.O...|.....|#####|#####|	6030
4201	5,128,4194306	5|..O..|.....|.....|..X..|...O.|	6028
4202	5,2,4194372	5|..O..|.....|.....|...O.|..OX.|	6026
4203	5,10240,64	5|.....|.....|.X.X.|...O.|.....|	6026
4204	5,1023,2229247	5|...O.|..O..|.....|#####|#####|	6026
4205	5,104,1	5|.....|.....|.....|...XX|.X..O|	6025
4206	5,65,14	5|.....|.....|.....|...X.|.OOOX|	6025
4207	5,288,1048576	5|....O|.....|.....|.X..X|.....|	6024
4208	5,128,4196416	5|..O..|.....|...O.|..XO.|.....|	6023
4209	5,9995327,1098815	5|.X..#|X...#|O...#|....#|#####|	6021
4210	5,2229247,99327	5|...X.|..XOO|.....|#####|#####|	6019
4211	5,2360319,525311	5|...X.|OX...|.....|#####|#####|	6019
4212	5,2058,0	5|.....|.....|...X.|.....|.X.X.|	6018
4213	5,1,524320	5|.....|O....|.....|....O|....X|	6018
4214	5,62,1	5|.....|.....|.....|....X|XXXXO|	6017
4215	5,32799,4196383	5|..O..|....X|...O.|.....|#####|	6017
4216	5,1353505,18400289	5|O...#|OX..#|OX..#|XX..#|....#|	6012
4217	5,2432,25088	5|.....|.....|OO.X.|OXX..|.....|	6012
4218	5,2,27394720	5|OO.O.|..O..|.....|O.O.O|...X.|	6012
4219	5,2304,131072	5|.....|..O..|...X.|.X...|.....|	6012
4220	5,17876017,1082401	5|X...#|....#|X...#|....#|X...#|	6011
4221	5,1048607,14712863	5|.OOOX|....O|.....|.....|#####|	6009
4222	5,1083391,26773503	5|OO..#|O...#|....#|#####|#####|	6008
4223	5,192,14	5|.....|.....|.....|..XX.|.OOO.|	6005
4224	5,132,131074	5|.....|..O..|.....|..X..|..XO.|	6003
4225	5,2,1048641	5|....O|.....|.....|...O.|...XO|	6000
4226	5,2064,8192	5|.....|.....|.O.X.|.....|X....|	5999
4227	5,1090865,1885217	5|....#|OO..#|OX..#|.X..#|X...#|	5998
4228	5,1,112	5|.....|.....|.....|...OO|O...X|	5997
4229	5,1049599,27329535	5|OO.OX|...O.|.....|#####|#####|	5996
4230	5,80,520	5|.....|.....|.....|O..X.|XO...|	5995
4231	5,1099041,1082937	5|....#|....#|X...#|OX..#|OO..#|	5995
4232	5,1099057,1614881	5|....#|O...#|XO..#|.X..#|X...#|	5994
4233	5,1280,8192	5|.....|.....|.O..X|.X...|.....|	5994
4234	5,4,1081344	5|....O|....O|.....|.....|..X..|	5992
4235	5,1361441,1606689	5|....#|OX..#|X...#|X...#|....#|	5991
4236	5,34,196	5|.....|.....|.....|..OOX|..OX.|	5990
4237	5,98335,3407903	5|...OO|.O.XX|.....|.....|#####|	5990
4238	5,0,138	5|.....|.....|.....|..O..|.O.O.|	5989
4239	5,2360319,8520703	5|.O.X.|.XO..|.....|#####|#####|	5987
4240	5,1623593,1082417	5|....#|X...#|X...#|X...#|OX..#|	5987
4241	5,1115135,23200767	5|O.OOX|..OX.|.....|#####|#####|	5987
4242	5,1034,0	5|.....|.....|....X|.....|.X.X.|	5986
4243	5,40,128	5|.....|.....|.....|..O.X|.X...|	5985
4244	5,31,3178527	5|...OO|....O|.....|.....|#####|	5984
4245	5,0,2561	5|.....|.....|...O.|O....|....O|	5984
4246	5,131103,1049631	5|....O|..X..|....O|.....|#####|	5983
4247	5,224,8400132	5|.O...|.....|.O.OO|.OXXX|..O..|	5983
4248	5,7,16	5|.....|.....|.....|.....|O.XXX|	5982
4249	5,31,5505055	5|..O.O|.O...|.....|.....|#####|	5981
4250	5,64,18400548	5|O...O|O...O|O...O|.O.XO|..O..|	5980
4251	5,2098175,197631	5|...X.|..OO.|.....|#####|#####|	5978
4252	5,290,0	5|.....|.....|.....|.X..X|...X.|	5978
4253	5,2,8388612	5|.O...|.....|.....|.....|..OX.|	5976
4254	5,3264099,3247211	5|...##|...##|X..##|X..##|.O.##|	5975
4255	5,31,1049631	5|....O|.....|....O|.....|#####|	5975
4256	5,3787891,28413027	5|OO.##|X..##|X..##|...##|X..##|	5973
4257	5,66,133248	5|.....|..O..|...O.|..OX.|...X.|	5970
4258	5,1082913,1090865	5|....#|....#|.O..#|XO..#|O...#|	5969
4259	5,1082913,9487393	5|.O..#|....#|O...#|X...#|....#|	5967
